id_staff,id_user,name_staff,position_staff,speciality,license_number,years_experience,id_service
345,935,Nizar Saidi,Technician,Family Medicine,LIC-10345,16,12
346,937,Dr. Sana Hamrouni,Dr.,Dermatologist,LIC-10346,22,3
347,939,Dr. Raja Mzoughi,Dr.,Interventional Radiologist,LIC-10347,28,11
348,940,Dr. Khaoula Trabelsi,Dr.,Pediatrician,LIC-10348,11,5
349,947,Dr. Thouraya Rhouma,Dr.,Trauma Surgeon,LIC-10349,31,10
350,949,Ibtissem Ben Ali,Technician,Neurosurgeon,LIC-10350,8,4
351,952,Dr. Leila Meddeb,Dr.,Critical Care Specialist,LIC-10351,19,10
352,953,Dr. Olfa Nefzi,Dr.,Dermatologist,LIC-10352,7,3
353,956,Maher Ghribi,Intern,Diabetologist,LIC-10353,2,8
354,957,Meriam Nasri,Technician,Neonatologist,LIC-10354,30,5
355,958,Mohamed Meddeb,Intern,Pediatric Surgeon,LIC-10355,2,5
356,961,Khaled Hachani,Technician,Cardiovascular Nurse,LIC-10356,34,2
357,964,Dr. Baya Rezgui,Dr.,Cosmetic Dermatologist,LIC-10357,15,3
358,966,Elyès Mzoughi,Intern,Endocrinologist,LIC-10358,1,8
359,967,Wissem Kraiem,Resident,Orthopedic Surgeon,LIC-10359,6,6
360,969,Wafa Boughdiri,Resident,Radiologist,LIC-10360,18,11
361,972,Ghassen Zouari,Technician,Pulmonologist,LIC-10361,17,9
362,973,Wassim Mbarki,Intern,Glaucoma Specialist,LIC-10362,3,7
363,974,Dr. Rim Tlili,Dr.,Surgical Oncologist,LIC-10363,8,1
364,976,Mondher Ben Mansour,Technician,Trauma Surgeon,LIC-10364,19,10
365,978,Sirine Ben Ali,Technician,Radiologist,LIC-10365,30,11
366,982,Wassim Mzoughi,Nurse,Critical Care Specialist,LIC-10366,11,10
367,986,Maher Boukadida,Nurse,Cardiovascular Nurse,LIC-10367,1,2
368,987,Dr. Raja Hammami,Dr.,Pediatric Surgeon,LIC-10368,8,5
369,989,Omar Boukadida,Nurse,Hematologist,LIC-10369,23,1
370,995,Dr. Elyès Sassi,Dr.,Surgical Oncologist,LIC-10370,9,1
371,997,Lotfi Boughanmi,Nurse,Thoracic Surgeon,LIC-10371,10,9
372,998,Salma Mansouri,Nurse,Dermatopathologist,LIC-10372,13,3
373,1001,Dr. Mondher Chérif,Dr.,Pediatrician,LIC-10373,3,5
374,1006,Dr. Samia Mbarki,Dr.,Nuclear Medicine Specialist,LIC-10374,25,11
375,1009,Dr. Houda Haddad,Dr.,Neonatologist,LIC-10375,20,5
376,1010,Nizar Missaoui,Resident,Interventional Radiologist,LIC-10376,9,11
377,1011,Dr. Wassim Hachani,Dr.,Pediatrician,LIC-10377,27,5
378,1016,Nadia Mejri,Nurse,Pediatrician,LIC-10378,20,5
379,1018,Wissem Rezgui,Technician,Pulmonologist,LIC-10379,25,9
380,1019,Dr. Mondher Sfar,Dr.,Respiratory Therapist,LIC-10380,21,9
381,1020,Samir Zouari,Intern,Diabetologist,LIC-10381,3,8
382,1024,Raja Turki,Resident,Endocrinologist,LIC-10382,2,8
383,1027,Dr. Habib Turki,Dr.,Dermatopathologist,LIC-10383,20,3
384,1035,Nesrine Chérif,Intern,Dermatopathologist,LIC-10384,2,3
385,1043,Omar Rhouma,Resident,Cosmetic Dermatologist,LIC-10385,1,3
386,1044,Taoufik Ghribi,Technician,Oncologist,LIC-10386,4,1
387,1045,Dr. Rim Sassi,Dr.,Rheumatologist,LIC-10387,7,6
388,1046,Amel Missaoui,Technician,Family Medicine,LIC-10388,4,12
389,1050,Dr. Sirine Kraiem,Dr.,General Practitioner,LIC-10389,34,12
390,1051,Maryem Bahri,Technician,Dermatologist,LIC-10390,10,3
391,1059,Lobna Rezgui,Nurse,General Practitioner,LIC-10391,32,12
392,1064,Dr. Sofien Hamouda,Dr.,Cardiologist,LIC-10392,1,2
393,1067,Dr. Maryem Belhaj,Dr.,Pulmonologist,LIC-10393,16,9
394,1071,Rami Sfar,Technician,Hematologist,LIC-10394,26,1
395,1072,Omar Jebali,Nurse,Retinal Specialist,LIC-10395,12,7
396,1073,Nesrine Sassi,Nurse,Critical Care Specialist,LIC-10396,29,10
397,1074,Dr. Sawsen Labidi,Dr.,Ophthalmologist,LIC-10397,2,7
398,1077,Dr. Nizar Mzoughi,Dr.,Dermatopathologist,LIC-10398,35,3
399,1079,Wafa Lassoued,Technician,Neonatologist,LIC-10399,7,5
400,1082,Ibtissem Boukadida,Intern,Interventional Radiologist,LIC-10400,3,11
401,1084,Dr. Naima Hamouda,Dr.,Diabetologist,LIC-10401,28,8
402,1086,Bilel Trabelsi,Nurse,Endocrinologist,LIC-10402,25,8
403,1087,Fatma Chérif,Nurse,Hematologist,LIC-10403,3,1
404,1088,Mariem Ghannouchi,Technician,Family Medicine,LIC-10404,18,12
405,1092,Fatma Khelifi,Intern,Thoracic Surgeon,LIC-10405,1,9
406,1094,Mariem Azaiez,Resident,Pulmonologist,LIC-10406,12,9
407,1095,Rayen Mzoughi,Intern,Nuclear Medicine Specialist,LIC-10407,2,11
408,1097,Dr. Taoufik Mansouri,Dr.,Pediatric Surgeon,LIC-10408,20,5
409,1103,Zohra Bouazizi,Technician,Retinal Specialist,LIC-10409,12,7
410,1104,Hela Mansouri,Nurse,Dermatopathologist,LIC-10410,21,3
411,1106,Ibtissem Chérif,Intern,Critical Care Specialist,LIC-10411,3,10
412,1107,Dr. Youssef Hammami,Dr.,General Practitioner,LIC-10412,15,12
413,1108,Dr. Amira Fakhfakh,Dr.,Thyroid Specialist,LIC-10413,31,8
414,1109,Dr. Asma Rhouma,Dr.,General Practitioner,LIC-10414,7,12
415,1111,Nizar Brik,Resident,Ophthalmologist,LIC-10415,4,7
416,1113,Dr. Sofien Nasri,Dr.,Oncologist,LIC-10416,29,1
417,1116,Dr. Ferida Ben Salah,Dr.,Cosmetic Dermatologist,LIC-10417,7,3
418,1117,Houssem Ayari,Resident,Dermatopathologist,LIC-10418,13,3
419,1118,Walid Nasri,Technician,Thyroid Specialist,LIC-10419,19,8
420,1124,Dr. Fares Mejri,Dr.,Glaucoma Specialist,LIC-10420,13,7
421,1126,Dr. Hamza Chérif,Dr.,Nuclear Medicine Specialist,LIC-10421,7,11
422,1132,Dr. Hajer Hammami,Dr.,Surgical Oncologist,LIC-10422,27,1
423,1133,Dr. Wissem Zghal,Dr.,Orthopedic Surgeon,LIC-10423,34,6
424,1135,Dr. Faten Mejri,Dr.,Trauma Surgeon,LIC-10424,33,10
425,1136,Dr. Mariem Mbarki,Dr.,Electrophysiologist,LIC-10425,28,2
426,1141,Dr. Ghofrane Ben Youssef,Dr.,Emergency Physician,LIC-10426,9,10
427,1142,Dr. Khaled Tlili,Dr.,Electrophysiologist,LIC-10427,15,2
428,1144,Omar Belhaj,Intern,Radiation Oncologist,LIC-10428,2,1
429,1145,Mehdi Ben Youssef,Intern,Cardiac Surgeon,LIC-10429,2,2
430,1146,Dr. Nour Zghal,Dr.,Thoracic Surgeon,LIC-10430,33,9
431,1147,Dr. Lobna Haddad,Dr.,Thoracic Surgeon,LIC-10431,8,9
432,1149,Ibtissem Lassoued,Nurse,Radiologist,LIC-10432,3,11
433,1156,Slim Turki,Nurse,Neurosurgeon,LIC-10433,4,4
434,1158,Yasmine Souissi,Intern,Radiologist,LIC-10434,1,11
435,1160,Dr. Mounir Bouazizi,Dr.,Orthopedic Surgeon,LIC-10435,27,6
436,1162,Dr. Mourad Kraiem,Dr.,Respiratory Therapist,LIC-10436,9,9
437,1163,Dr. Skander Brik,Dr.,Cardiologist,LIC-10437,32,2
438,1166,Samir Dridi,Intern,Retinal Specialist,LIC-10438,2,7
439,1167,Dr. Olfa Trabelsi,Dr.,Radiation Oncologist,LIC-10439,35,1
440,1169,Zaineb Sellami,Resident,Nuclear Medicine Specialist,LIC-10440,2,11
441,1171,Dr. Makram Lassoued,Dr.,Retinal Specialist,LIC-10441,9,7
442,1175,Mondher Hamouda,Resident,Pulmonologist,LIC-10442,8,9
443,1177,Latifa Jebali,Intern,Orthopedic Surgeon,LIC-10443,2,6
444,1181,Dr. Mondher Boughdiri,Dr.,Neurologist,LIC-10444,6,4
445,1183,Dr. Ibtissem Ben Ali,Dr.,Glaucoma Specialist,LIC-10445,35,7
446,1184,Dr. Wissem Hammami,Dr.,General Practitioner,LIC-10446,4,12
447,1186,Dr. Youssef Chaabane,Dr.,Endocrinologist,LIC-10447,19,8
448,1188,Ali Hamrouni,Intern,Critical Care Specialist,LIC-10448,1,10
449,1194,Amel Ghannouchi,Resident,Thyroid Specialist,LIC-10449,8,8
450,1196,Dr. Elyès Bouazizi,Dr.,Pediatric Surgeon,LIC-10450,14,5
451,3,Faten Mansouri,Intern,Neurosurgeon,LIC-10451,2,4
452,5,Sara Hachani,Nurse,Radiologist,LIC-10452,34,11
453,8,Dr. Rim Hamrouni,Dr.,Surgical Oncologist,LIC-10453,27,1
454,14,Intissar Labidi,Technician,Pediatrician,LIC-10454,14,5
455,17,Dr. Yasmine Sassi,Dr.,Pediatric Surgeon,LIC-10455,14,5
456,18,Dr. Sirine Ben Salah,Dr.,Radiation Oncologist,LIC-10456,29,1
457,19,Radhia Rhouma,Technician,Cardiologist,LIC-10457,32,2
458,22,Leila Rahali,Nurse,Trauma Surgeon,LIC-10458,20,10
459,24,Hamza Chaabane,Nurse,Trauma Surgeon,LIC-10459,32,10
460,26,Ahmed Sellami,Resident,Retinal Specialist,LIC-10460,3,7
461,29,Fares Souissi,Resident,Dermatopathologist,LIC-10461,28,3
462,31,Meriam Chaabane,Nurse,Surgical Oncologist,LIC-10462,2,1
463,32,Zaineb Rhouma,Intern,Pediatric Surgeon,LIC-10463,1,5
464,34,Fethi Trabelsi,Intern,Internal Medicine,LIC-10464,3,12
465,39,Dr. Houda Ben Mansour,Dr.,Electrophysiologist,LIC-10465,19,2
466,40,Issam Chebbi,Resident,Critical Care Specialist,LIC-10466,34,10
467,43,Dorra Khelifi,Resident,Thyroid Specialist,LIC-10467,16,8
468,44,Dr. Karim Boughdiri,Dr.,Pediatric Surgeon,LIC-10468,18,5
469,46,Hamza Bouzid,Nurse,Rheumatologist,LIC-10469,26,6
470,47,Leila Labidi,Nurse,Physiotherapist,LIC-10470,17,6
471,49,Dr. Radhia Ghribi,Dr.,Cardiovascular Nurse,LIC-10471,21,2
472,50,Dr. Mehdi Karray,Dr.,Diabetologist,LIC-10472,2,8
473,51,Latifa Ben Ali,Technician,Surgical Oncologist,LIC-10473,31,1
474,53,Dr. Ghofrane Karray,Dr.,Ophthalmologist,LIC-10474,6,7
475,54,Rim Azaiez,Intern,Electrophysiologist,LIC-10475,1,2
476,60,Dorra Hachani,Nurse,Neonatologist,LIC-10476,9,5
477,63,Dr. Olfa Rezgui,Dr.,Dermatopathologist,LIC-10477,4,3
478,65,Dr. Fares Jebali,Dr.,Dermatopathologist,LIC-10478,33,3
479,66,Ridha Chérif,Intern,Radiation Oncologist,LIC-10479,0,1
480,70,Oussama Nasri,Nurse,Surgical Oncologist,LIC-10480,35,1
481,74,Dr. Oussama Hammami,Dr.,Orthopedic Surgeon,LIC-10481,5,6
482,75,Dr. Emna Ayari,Dr.,Pulmonologist,LIC-10482,16,9
483,78,Hajer Hamrouni,Intern,Interventional Radiologist,LIC-10483,0,11
484,82,Radhia Jelassi,Nurse,Dermatologist,LIC-10484,21,3
485,83,Zaineb Ben Mansour,Intern,Physiotherapist,LIC-10485,2,6
486,90,Dr. Samia Oueslati,Dr.,Cosmetic Dermatologist,LIC-10486,3,3
487,91,Dr. Bassem Mzoughi,Dr.,Cardiac Surgeon,LIC-10487,21,2
488,92,Samir Mansouri,Intern,Neurosurgeon,LIC-10488,0,4
489,93,Dr. Sawsen Brik,Dr.,Glaucoma Specialist,LIC-10489,6,7
490,96,Youssef Dridi,Resident,Thoracic Surgeon,LIC-10490,8,9
491,100,Dr. Cyrine Ghribi,Dr.,Trauma Surgeon,LIC-10491,34,10
492,101,Cyrine Ayari,Intern,Pediatrician,LIC-10492,2,5
493,102,Dr. Nesrine Ferchichi,Dr.,Orthopedic Surgeon,LIC-10493,30,6
494,103,Dr. Asma Kraiem,Dr.,General Practitioner,LIC-10494,29,12
495,104,Baya Boughanmi,Resident,Orthopedic Surgeon,LIC-10495,23,6
496,108,Dr. Nadia Saidi,Dr.,Rheumatologist,LIC-10496,31,6
497,115,Mourad Dridi,Technician,Ophthalmologist,LIC-10497,9,7
498,118,Issam Bouzid,Resident,Nuclear Medicine Specialist,LIC-10498,9,11
499,123,Mourad Nasri,Nurse,Physiotherapist,LIC-10499,8,6
500,126,Hamza Turki,Resident,Pulmonologist,LIC-10500,32,9
501,128,Dr. Ghassen Boughanmi,Dr.,Cosmetic Dermatologist,LIC-10501,1,3
502,129,Anis Jebali,Resident,Pediatric Surgeon,LIC-10502,31,5
503,131,Dr. Mouna Sfar,Dr.,Hematologist,LIC-10503,2,1
504,132,Dr. Khadija Khelifi,Dr.,Dermatopathologist,LIC-10504,34,3
505,135,Zied Azaiez,Resident,Orthopedic Surgeon,LIC-10505,26,6
506,136,Dr. Khadija Bahri,Dr.,Family Medicine,LIC-10506,8,12
507,137,Khaoula Azaiez,Intern,Critical Care Specialist,LIC-10507,0,10
508,139,Dr. Aziz Hammami,Dr.,Family Medicine,LIC-10508,29,12
509,144,Soumaya Rezgui,Technician,Family Medicine,LIC-10509,19,12
510,146,Dr. Ferida Lassoued,Dr.,General Practitioner,LIC-10510,33,12
511,147,Dr. Salma Mzoughi,Dr.,Critical Care Specialist,LIC-10511,24,10
512,148,Thouraya Douzi,Technician,Retinal Specialist,LIC-10512,29,7
513,149,Hana Saidi,Nurse,Cardiac Surgeon,LIC-10513,20,2
514,150,Dr. Faten Ferchichi,Dr.,Critical Care Specialist,LIC-10514,34,10
515,153,Aymen Saidi,Resident,Neonatologist,LIC-10515,25,5
516,155,Dr. Asma Rhouma,Dr.,Dermatologist,LIC-10516,14,3
517,158,Mondher Nefzi,Nurse,Critical Care Specialist,LIC-10517,21,10
518,170,Amira Mbarki,Nurse,Dermatologist,LIC-10518,19,3
519,175,Rim Boukadida,Technician,Neurologist,LIC-10519,19,4
520,176,Dr. Mehdi Belhaj,Dr.,Clinical Neurophysiologist,LIC-10520,18,4
521,177,Dr. Bilel Sfar,Dr.,Thoracic Surgeon,LIC-10521,11,9
522,181,Dr. Ines Belhaj,Dr.,Thoracic Surgeon,LIC-10522,13,9
523,183,Dr. Mohamed Boukadida,Dr.,Orthopedic Surgeon,LIC-10523,19,6
524,185,Wissem Jelassi,Technician,Pulmonologist,LIC-10524,30,9
525,187,Dr. Amel Boughdiri,Dr.,Internal Medicine,LIC-10525,8,12
526,188,Ridha Boughanmi,Resident,Diabetologist,LIC-10526,6,8
527,190,Dr. Karim Rahali,Dr.,Orthopedic Surgeon,LIC-10527,15,6
528,193,Baya Bouazizi,Intern,Dermatopathologist,LIC-10528,2,3
529,199,Dr. Skander Chebbi,Dr.,Internal Medicine,LIC-10529,21,12
530,201,Dr. Leila Jelassi,Dr.,Internal Medicine,LIC-10530,21,12
531,205,Dr. Wafa Sassi,Dr.,Nuclear Medicine Specialist,LIC-10531,1,11
532,207,Nesrine Ghannouchi,Resident,Clinical Neurophysiologist,LIC-10532,13,4
533,208,Dr. Mehdi Lassoued,Dr.,Endocrinologist,LIC-10533,32,8
534,209,Dr. Amel Ghannouchi,Dr.,Radiologist,LIC-10534,34,11
535,211,Dr. Aziz Kraiem,Dr.,Hematologist,LIC-10535,5,1
536,213,Dr. Faten Bahri,Dr.,General Practitioner,LIC-10536,3,12
537,218,Chokri Hamouda,Nurse,Trauma Surgeon,LIC-10537,16,10
538,219,Ghassen Mbarki,Technician,Thoracic Surgeon,LIC-10538,12,9
539,223,Dr. Lobna Sassi,Dr.,Pediatric Surgeon,LIC-10539,32,5
540,224,Faten Ben Mansour,Resident,Trauma Surgeon,LIC-10540,35,10
541,227,Dr. Adel Oueslati,Dr.,Neurologist,LIC-10541,19,4
542,229,Soumaya Ayari,Intern,Clinical Neurophysiologist,LIC-10542,3,4
543,230,Sirine Mathlouthi,Technician,Rheumatologist,LIC-10543,8,6
544,233,Lotfi Hamouda,Resident,General Practitioner,LIC-10544,31,12
545,238,Mounir Belhaj,Resident,Radiologist,LIC-10545,2,11
546,241,Dr. Bassem Rahali,Dr.,Ophthalmologist,LIC-10546,21,7
547,243,Mehdi Zouari,Intern,Retinal Specialist,LIC-10547,3,7
548,244,Mondher Haddad,Nurse,Surgical Oncologist,LIC-10548,32,1
549,247,Baya Dridi,Intern,Radiologist,LIC-10549,2,11
550,249,Dr. Latifa Turki,Dr.,Emergency Physician,LIC-10550,35,10
551,250,Dr. Hajer Hachani,Dr.,Critical Care Specialist,LIC-10551,22,10
552,254,Dr. Yasmine Belhaj,Dr.,General Practitioner,LIC-10552,25,12
553,264,Salma Hachani,Intern,Rheumatologist,LIC-10553,0,6
554,267,Dr. Rayen Chaabane,Dr.,Rheumatologist,LIC-10554,13,6
555,268,Sana Sassi,Resident,General Practitioner,LIC-10555,19,12
556,273,Sana Boughdiri,Intern,Physiotherapist,LIC-10556,1,6
557,274,Dr. Nadia Brik,Dr.,Oncologist,LIC-10557,2,1
558,275,Dr. Fethi Nefzi,Dr.,Respiratory Therapist,LIC-10558,32,9
559,276,Leila Khelifi,Nurse,Pediatrician,LIC-10559,15,5
560,277,Dr. Ghofrane Hachani,Dr.,Surgical Oncologist,LIC-10560,8,1
561,280,Zied Douzi,Resident,Dermatopathologist,LIC-10561,18,3
562,281,Dr. Hamza Bouazizi,Dr.,Thoracic Surgeon,LIC-10562,27,9
563,283,Dr. Ahmed Ben Ali,Dr.,Electrophysiologist,LIC-10563,13,2
564,284,Mourad Karray,Nurse,Physiotherapist,LIC-10564,33,6
565,286,Mouna Trabelsi,Nurse,Neonatologist,LIC-10565,13,5
566,291,Amine Nasri,Technician,Retinal Specialist,LIC-10566,28,7
567,293,Salma Dridi,Resident,Respiratory Therapist,LIC-10567,31,9
568,298,Dr. Bassem Boughdiri,Dr.,Ophthalmologist,LIC-10568,32,7
569,299,Aziz Haddad,Intern,Thoracic Surgeon,LIC-10569,0,9
570,303,Dr. Latifa Dridi,Dr.,Ophthalmologist,LIC-10570,29,7
571,305,Dr. Hatem Lassoued,Dr.,Interventional Radiologist,LIC-10571,22,11
572,306,Dr. Bilel Ghribi,Dr.,Cardiac Surgeon,LIC-10572,14,2
573,309,Dr. Faten Chérif,Dr.,Cardiac Surgeon,LIC-10573,26,2
574,312,Imen Sassi,Technician,Thoracic Surgeon,LIC-10574,15,9
575,318,Rania Hachani,Technician,Neonatologist,LIC-10575,20,5
576,320,Dr. Mouna Ferchichi,Dr.,Surgical Oncologist,LIC-10576,27,1
577,321,Dr. Mohamed Rahali,Dr.,Respiratory Therapist,LIC-10577,35,9
578,323,Dr. Faten Hamrouni,Dr.,Physiotherapist,LIC-10578,31,6
579,330,Dr. Emna Bahri,Dr.,Electrophysiologist,LIC-10579,5,2
580,332,Dr. Zied Ghannouchi,Dr.,Dermatopathologist,LIC-10580,8,3
581,333,Sana Mejri,Technician,Cardiologist,LIC-10581,28,2
582,340,Mounir Khelifi,Technician,Dermatopathologist,LIC-10582,27,3
583,343,Zohra Ben Ali,Nurse,Electrophysiologist,LIC-10583,19,2
584,344,Aziz Boughanmi,Nurse,Respiratory Therapist,LIC-10584,24,9
585,348,Dr. Wissem Douzi,Dr.,Cosmetic Dermatologist,LIC-10585,34,3
586,349,Wassim Souissi,Intern,Thoracic Surgeon,LIC-10586,2,9
587,350,Dr. Samia Chebbi,Dr.,Rheumatologist,LIC-10587,9,6
588,353,Anis Nefzi,Technician,Surgical Oncologist,LIC-10588,27,1
589,356,Nizar Mzoughi,Technician,Cardiologist,LIC-10589,20,2
590,359,Dr. Khadija Mejri,Dr.,General Practitioner,LIC-10590,35,12
591,362,Dr. Raja Ferchichi,Dr.,Hematologist,LIC-10591,11,1
592,363,Dr. Youssef Mbarki,Dr.,Rheumatologist,LIC-10592,1,6
593,364,Walid Rahali,Nurse,Glaucoma Specialist,LIC-10593,20,7
594,366,Hatem Labidi,Resident,Pediatric Surgeon,LIC-10594,35,5
595,367,Dr. Radhia Fakhfakh,Dr.,Cardiac Surgeon,LIC-10595,7,2
596,369,Baya Souissi,Nurse,Cosmetic Dermatologist,LIC-10596,7,3
597,371,Karim Ghribi,Resident,Rheumatologist,LIC-10597,18,6
598,379,Mouna Sellami,Technician,Neurologist,LIC-10598,1,4
599,380,Dr. Fares Souissi,Dr.,Emergency Physician,LIC-10599,10,10
600,383,Dr. Sana Lassoued,Dr.,Orthopedic Surgeon,LIC-10600,4,6
601,384,Karim Saidi,Technician,Glaucoma Specialist,LIC-10601,31,7
602,387,Dr. Asma Tlili,Dr.,Clinical Neurophysiologist,LIC-10602,26,4
603,388,Zied Hachani,Resident,Family Medicine,LIC-10603,23,12
604,389,Maher Sassi,Intern,Pulmonologist,LIC-10604,1,9
605,392,Anis Rezgui,Nurse,General Practitioner,LIC-10605,28,12
606,395,Nadia Ayari,Technician,Family Medicine,LIC-10606,8,12
607,397,Makram Azaiez,Resident,Interventional Radiologist,LIC-10607,12,11
608,398,Ines Sellami,Intern,Thyroid Specialist,LIC-10608,2,8
609,401,Dr. Aziz Jelassi,Dr.,Critical Care Specialist,LIC-10609,13,10
610,403,Dr. Zied Ben Salah,Dr.,General Practitioner,LIC-10610,13,12
611,406,Dr. Latifa Ben Salah,Dr.,Surgical Oncologist,LIC-10611,22,1
612,407,Amine Boughdiri,Intern,Pediatric Surgeon,LIC-10612,0,5
613,409,Dr. Zaineb Rahali,Dr.,Interventional Radiologist,LIC-10613,31,11
614,411,Zohra Hammami,Nurse,Pediatric Surgeon,LIC-10614,4,5
615,413,Dr. Wissem Meddeb,Dr.,Family Medicine,LIC-10615,30,12
616,414,Mounir Mathlouthi,Technician,Internal Medicine,LIC-10616,35,12
617,417,Amine Hammami,Intern,Radiation Oncologist,LIC-10617,1,1
618,418,Karim Maaloul,Resident,Cardiologist,LIC-10618,29,2
619,419,Dr. Ghassen Mansouri,Dr.,Orthopedic Surgeon,LIC-10619,35,6
620,422,Dr. Skander Karray,Dr.,Nuclear Medicine Specialist,LIC-10620,2,11
621,423,Khaoula Sassi,Intern,General Practitioner,LIC-10621,2,12
622,426,Cyrine Ben Ali,Resident,Glaucoma Specialist,LIC-10622,4,7
623,429,Dr. Youssef Mejri,Dr.,Family Medicine,LIC-10623,6,12
624,432,Dr. Nizar Ayari,Dr.,Pediatric Surgeon,LIC-10624,13,5
625,433,Houssem Saidi,Resident,Dermatopathologist,LIC-10625,1,3
626,435,Maher Rahali,Intern,Cardiovascular Nurse,LIC-10626,3,2
627,436,Dr. Wissem Sassi,Dr.,Trauma Surgeon,LIC-10627,6,10
628,439,Dr. Sami Boughdiri,Dr.,Dermatopathologist,LIC-10628,6,3
629,441,Dr. Nizar Hamrouni,Dr.,Dermatologist,LIC-10629,14,3
630,447,Ghofrane Ben Salah,Technician,Cardiac Surgeon,LIC-10630,20,2
631,449,Dr. Thouraya Douzi,Dr.,Internal Medicine,LIC-10631,9,12
632,452,Lobna Chaabane,Resident,Family Medicine,LIC-10632,12,12
633,457,Skander Ghannouchi,Intern,Ophthalmologist,LIC-10633,1,7
634,465,Dr. Rim Boughanmi,Dr.,Cosmetic Dermatologist,LIC-10634,17,3
635,466,Houssem Ayari,Nurse,Electrophysiologist,LIC-10635,23,2
636,468,Ibtissem Ben Salah,Intern,Nuclear Medicine Specialist,LIC-10636,3,11
637,469,Dr. Ghassen Zouari,Dr.,Hematologist,LIC-10637,10,1
638,471,Dr. Meriam Missaoui,Dr.,Family Medicine,LIC-10638,23,12
639,474,Rayen Ghribi,Nurse,Neurosurgeon,LIC-10639,33,4
640,477,Makram Sassi,Nurse,Cardiac Surgeon,LIC-10640,17,2
641,478,Rami Chebbi,Nurse,Oncologist,LIC-10641,34,1
642,479,Dr. Sawsen Rezgui,Dr.,Endocrinologist,LIC-10642,30,8
643,482,Aymen Hamrouni,Intern,Trauma Surgeon,LIC-10643,0,10
644,490,Dr. Asma Hamouda,Dr.,Interventional Radiologist,LIC-10644,1,11
645,493,Anis Turki,Technician,Physiotherapist,LIC-10645,7,6
646,500,Nizar Boughdiri,Intern,Pediatrician,LIC-10646,3,5
647,501,Dr. Meriam Mathlouthi,Dr.,Thyroid Specialist,LIC-10647,30,8
648,503,Ibtissem Missaoui,Resident,Family Medicine,LIC-10648,31,12
649,506,Nesrine Nasri,Intern,Trauma Surgeon,LIC-10649,3,10
650,507,Thouraya Haddad,Nurse,Radiation Oncologist,LIC-10650,33,1
651,509,Amine Turki,Resident,Pediatric Surgeon,LIC-10651,26,5
652,511,Dr. Ibtissem Trabelsi,Dr.,Pulmonologist,LIC-10652,20,9
653,512,Dr. Zaineb Hamouda,Dr.,Emergency Physician,LIC-10653,9,10
654,514,Dr. Sawsen Ferchichi,Dr.,Cardiovascular Nurse,LIC-10654,10,2
655,519,Mariem Chebbi,Resident,Cosmetic Dermatologist,LIC-10655,1,3
656,523,Dr. Sawsen Mzoughi,Dr.,Cosmetic Dermatologist,LIC-10656,20,3
657,524,Dr. Salma Mathlouthi,Dr.,Neurosurgeon,LIC-10657,6,4
658,525,Dr. Baya Bouzid,Dr.,Nuclear Medicine Specialist,LIC-10658,24,11
659,529,Dr. Fatma Lassoued,Dr.,Orthopedic Surgeon,LIC-10659,31,6
660,533,Nadia Zouari,Resident,General Practitioner,LIC-10660,31,12
661,536,Sawsen Ben Youssef,Technician,General Practitioner,LIC-10661,7,12
662,539,Naima Ghannouchi,Intern,Cosmetic Dermatologist,LIC-10662,2,3
663,541,Amel Meddeb,Resident,Trauma Surgeon,LIC-10663,35,10
664,542,Youssef Mbarki,Technician,Nuclear Medicine Specialist,LIC-10664,2,11
665,544,Dr. Fares Boughanmi,Dr.,Neurosurgeon,LIC-10665,24,4
666,551,Dr. Slim Saidi,Dr.,Critical Care Specialist,LIC-10666,26,10
667,558,Dr. Youssef Douzi,Dr.,Cosmetic Dermatologist,LIC-10667,13,3
668,565,Leila Souissi,Nurse,Ophthalmologist,LIC-10668,22,7
669,568,Dr. Zied Douzi,Dr.,Ophthalmologist,LIC-10669,19,7
670,569,Maher Ben Youssef,Technician,Surgical Oncologist,LIC-10670,27,1
671,573,Hana Khelifi,Resident,Nuclear Medicine Specialist,LIC-10671,7,11
672,578,Dr. Raja Ghribi,Dr.,Rheumatologist,LIC-10672,7,6
673,579,Radhia Sellami,Resident,Radiation Oncologist,LIC-10673,21,1
674,581,Karim Missaoui,Resident,Interventional Radiologist,LIC-10674,1,11
675,582,Faten Douzi,Resident,Ophthalmologist,LIC-10675,20,7
676,583,Dr. Mondher Nasri,Dr.,Trauma Surgeon,LIC-10676,33,10
677,588,Hatem Hachani,Technician,Family Medicine,LIC-10677,35,12
678,589,Dr. Sara Jebali,Dr.,Glaucoma Specialist,LIC-10678,25,7
679,590,Dr. Thouraya Maaloul,Dr.,Surgical Oncologist,LIC-10679,17,1
680,591,Walid Saidi,Technician,Ophthalmologist,LIC-10680,30,7
681,593,Dr. Bassem Hammami,Dr.,Diabetologist,LIC-10681,24,8
682,594,Rania Boughanmi,Intern,Neonatologist,LIC-10682,2,5
683,595,Dr. Wassim Oueslati,Dr.,Respiratory Therapist,LIC-10683,12,9
684,599,Bassem Mbarki,Resident,Hematologist,LIC-10684,21,1
685,602,Dr. Lobna Rezgui,Dr.,Emergency Physician,LIC-10685,23,10
686,605,Aziz Hammami,Resident,Neurologist,LIC-10686,6,4
687,606,Dr. Meriam Sfar,Dr.,General Practitioner,LIC-10687,32,12
688,609,Mondher Azaiez,Nurse,Physiotherapist,LIC-10688,16,6
